date,Dwarka_pm25,Dwarka_pm10,Dwarka_aqi,Mathura Road_pm25,Mathura Road_pm10,Mathura Road_aqi,Sri Aurobindo Marg_pm25,Sri Aurobindo Marg_pm10,Sri Aurobindo Marg_aqi,Patparganj_pm25,Patparganj_pm10,Patparganj_aqi
01-05-2024,76.95833333333333,280.2083333333333,244.29166666666666,16.333333333333332,224.38888888888889,195.72222222222223,53.45744680851064,199.14893617021278,171.89361702127658,36.791666666666664,228.58333333333334,188.70833333333334
02-05-2024,88.41666666666667,277.375,252.04166666666666,45.714285714285715,219.38095238095238,207.14285714285714,65.05208333333333,185.1875,172.77083333333334,44.78813559322034,216.635593220339,181.20338983050848
03-05-2024,162.52100840336135,380.92436974789916,357.14285714285717,83.04761904761905,279.4761904761905,254.04761904761904,108.42708333333333,247.88541666666666,243.59375,84.45762711864407,296.7542372881356,258.0508474576271
04-05-2024,180.29166666666666,492.0833333333333,494.0,157.33333333333334,392.94444444444446,373.55555555555554,121.55208333333333,246.19791666666666,245.3125,90.5,323.8333333333333,284.56666666666666
05-05-2024,141.40833333333333,363.7916666666667,339.39166666666665,82.26315789473684,271.63157894736844,256.7894736842105,90.09375,215.98958333333334,207.40625,121.01315789473684,354.9342105263158,318.4868421052632
06-05-2024,126.90082644628099,396.9834710743802,381.2396694214876,100.57142857142857,265.85714285714283,247.42857142857142,80.36458333333333,212.78125,206.15625,57.134328358208954,278.6268656716418,239.2537313432836
07-05-2024,180.21666666666667,450.0833333333333,441.45,0.0,0.0,0.0,125.95876288659794,285.659793814433,273.30927835051546,123.05555555555556,434.31481481481484,410.3240740740741
08-05-2024,64.625,270.675,221.96666666666667,0.0,187.1818181818182,152.72727272727272,64.91836734693878,237.0612244897959,198.90816326530611,72.25641025641026,295.2564102564103,252.54700854700855
09-05-2024,48.583333333333336,185.66666666666666,157.125,30.933333333333334,140.73333333333332,165.2,50.458333333333336,174.75,151.45833333333334,50.625,227.25,200.0
10-05-2024,63.26086956521739,241.47826086956522,217.1304347826087,0.0,177.8181818181818,152.0,68.3936170212766,189.9468085106383,162.4468085106383,58.26890756302521,300.61344537815125,286.12605042016804
11-05-2024,49.90756302521008,311.57142857142856,287.8487394957983,33.80952380952381,236.71428571428572,223.42857142857142,37.0,236.28358208955223,218.5820895522388,59.077669902912625,264.54368932038835,241.15533980582524
12-05-2024,72.0,207.20833333333334,179.75,27.75,197.0,183.4,62.02439024390244,169.109756097561,147.1951219512195,73.79310344827586,354.13793103448273,321.37931034482756
